epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
43,27.3234,0.88505,2.02683,0.0117,0.98873,1,0.995,0.8477,0.7702,2.87601,0.01711,0.000973861,0.000973861,0.000973861
44,27.961,0.71843,2.0321,0.00922,0.98763,1,0.995,0.85178,0.73533,2.84321,0.01668,0.000957358,0.000957358,0.000957358
45,28.5243,0.7647,2.00903,0.01014,0.98842,1,0.995,0.833,0.62196,2.69142,0.01385,0.000940855,0.000940855,0.000940855
46,29.0759,0.76833,1.84636,0.00914,0.98603,1,0.995,0.83556,0.65431,2.59467,0.01395,0.000924352,0.000924352,0.000924352
47,29.6314,0.79138,1.8495,0.0094,0.9832,1,0.995,0.83676,0.66369,2.49332,0.01382,0.000907848,0.000907848,0.000907848
48,30.1865,0.79533,2.07366,0.01062,0.98292,1,0.995,0.86162,0.66927,2.45317,0.01322,0.000891345,0.000891345,0.000891345
49,30.8222,0.80478,1.83684,0.00936,0.9868,1,0.995,0.85656,0.6632,2.3805,0.01391,0.000874842,0.000874842,0.000874842
50,31.3814,0.68961,1.76894,0.00804,0.98711,1,0.995,0.83456,0.7101,2.35636,0.01523,0.000858338,0.000858338,0.000858338
51,31.9315,0.75716,1.59637,0.00953,0.9861,1,0.995,0.84456,0.7305,2.32641,0.0161,0.000841835,0.000841835,0.000841835
52,32.4855,0.7149,1.55862,0.00815,0.98649,1,0.995,0.84456,0.64303,2.21565,0.0138,0.000825332,0.000825332,0.000825332
53,33.0414,0.70196,1.64109,0.00893,0.98488,1,0.995,0.87912,0.56398,2.13717,0.01115,0.000808828,0.000808828,0.000808828
54,33.6005,0.64658,1.65294,0.0085,0.98428,1,0.995,0.88375,0.56789,2.09705,0.01189,0.000792325,0.000792325,0.000792325
55,34.1523,0.66383,1.51386,0.00758,0.98401,1,0.995,0.88375,0.63957,2.09827,0.01437,0.000775822,0.000775822,0.000775822
56,34.7823,0.75682,1.54684,0.01003,0.98431,1,0.995,0.86512,0.67729,2.10944,0.01569,0.000759318,0.000759318,0.000759318
57,35.3435,0.77639,1.6449,0.01043,0.98314,1,0.995,0.85762,0.65572,2.01121,0.01447,0.000742815,0.000742815,0.000742815
58,35.9012,0.73978,1.7306,0.00888,0.98308,1,0.995,0.84762,0.60472,1.96045,0.01302,0.000726312,0.000726312,0.000726312
59,36.4627,0.71069,1.52278,0.00862,0.98247,1,0.995,0.8625,0.56825,1.96517,0.01225,0.000709809,0.000709809,0.000709809
60,37.0186,0.75787,1.55171,0.00938,0.97933,1,0.995,0.85762,0.58329,1.94255,0.01261,0.000693305,0.000693305,0.000693305
61,37.6507,0.66611,1.42745,0.00764,0.98052,1,0.995,0.87442,0.66202,1.88272,0.01464,0.000676802,0.000676802,0.000676802
62,38.2236,0.70179,1.35343,0.00886,0.97981,1,0.995,0.86044,0.72568,1.88002,0.01543,0.000660299,0.000660299,0.000660299
63,38.7764,0.73576,1.47615,0.00954,0.97924,1,0.995,0.858,0.71044,1.88165,0.01429,0.000643795,0.000643795,0.000643795
64,39.3323,0.7169,1.37835,0.00836,0.97871,1,0.995,0.87245,0.68614,1.83093,0.01354,0.000627292,0.000627292,0.000627292
65,39.886,0.70865,1.55824,0.00946,0.97719,1,0.995,0.87215,0.70395,1.85754,0.01518,0.000610789,0.000610789,0.000610789
66,40.4432,0.64246,1.17613,0.0077,0.97617,1,0.995,0.85615,0.65425,1.88881,0.0139,0.000594286,0.000594286,0.000594286
67,41.077,0.71751,1.40328,0.00955,0.97603,1,0.995,0.84395,0.69356,1.81409,0.01429,0.000577782,0.000577782,0.000577782
68,41.636,0.64866,1.36154,0.00823,0.9768,1,0.995,0.8264,0.77238,1.7853,0.01546,0.000561279,0.000561279,0.000561279
69,42.1878,0.67104,1.22657,0.00849,0.97849,1,0.995,0.82538,0.83461,1.79345,0.01691,0.000544776,0.000544776,0.000544776
70,42.7479,0.69019,1.2965,0.00958,0.97958,1,0.995,0.83476,0.77233,1.81967,0.01578,0.000528272,0.000528272,0.000528272
71,43.3059,0.60074,1.24954,0.00743,0.98101,1,0.995,0.85587,0.73365,1.73369,0.01541,0.000511769,0.000511769,0.000511769
72,43.9473,0.70878,1.3483,0.00877,0.98179,1,0.995,0.85456,0.74339,1.68408,0.016,0.000495266,0.000495266,0.000495266
73,44.5112,0.66349,1.28326,0.00761,0.9831,1,0.995,0.84273,0.78298,1.72274,0.01738,0.000478762,0.000478762,0.000478762
74,45.0676,0.65899,1.28446,0.00719,0.98285,1,0.995,0.85406,0.76915,1.71585,0.01694,0.000462259,0.000462259,0.000462259
75,45.6262,0.59342,1.25752,0.00772,0.9825,1,0.995,0.86387,0.74225,1.65102,0.01607,0.000445756,0.000445756,0.000445756
76,46.1808,0.72658,1.2828,0.00843,0.98232,1,0.995,0.8801,0.69857,1.6019,0.01474,0.000429253,0.000429253,0.000429253
77,46.7391,0.64269,1.18339,0.00726,0.98258,1,0.995,0.85456,0.60638,1.58661,0.01255,0.000412749,0.000412749,0.000412749
78,47.3817,0.63202,1.23674,0.00879,0.98254,1,0.995,0.85456,0.62038,1.53727,0.01293,0.000396246,0.000396246,0.000396246
79,47.9441,0.58877,1.16598,0.00807,0.98213,1,0.995,0.85456,0.61306,1.52797,0.0128,0.000379743,0.000379743,0.000379743
80,48.498,0.57679,1.21585,0.00747,0.98227,1,0.995,0.87587,0.6056,1.53799,0.01261,0.000363239,0.000363239,0.000363239
81,49.0588,0.61458,1.21227,0.00715,0.98223,1,0.995,0.85997,0.61842,1.55136,0.01277,0.000346736,0.000346736,0.000346736
82,49.6146,0.62129,1.17942,0.00763,0.98262,1,0.995,0.87597,0.63011,1.54681,0.01311,0.000330233,0.000330233,0.000330233
83,50.1711,0.60374,1.10596,0.00708,0.98297,1,0.995,0.89154,0.63454,1.52673,0.01315,0.000313729,0.000313729,0.000313729
84,50.8051,0.62707,1.08956,0.00782,0.98308,1,0.995,0.88356,0.62896,1.50744,0.01304,0.000297226,0.000297226,0.000297226
85,51.3663,0.5532,1.11606,0.0066,0.98277,1,0.995,0.87612,0.63472,1.46787,0.01307,0.000280723,0.000280723,0.000280723
86,51.9203,0.58986,1.10936,0.00688,0.98256,1,0.995,0.84881,0.65536,1.46784,0.01351,0.00026422,0.00026422,0.00026422
87,52.4829,0.57951,1.08466,0.00658,0.98198,1,0.995,0.84881,0.66225,1.46054,0.0138,0.000247716,0.000247716,0.000247716
88,53.1139,0.60793,1.12356,0.00708,0.98154,1,0.995,0.84881,0.67148,1.45174,0.01408,0.000231213,0.000231213,0.000231213
89,53.6747,0.56173,1.13464,0.00734,0.98117,1,0.995,0.84881,0.68032,1.45433,0.01435,0.00021471,0.00021471,0.00021471
90,54.2295,0.593,1.12441,0.00705,0.98089,1,0.995,0.84881,0.69507,1.46543,0.01472,0.000198206,0.000198206,0.000198206
91,55.3416,0.42341,1.61553,0.00628,0.9813,1,0.995,0.84881,0.70257,1.49603,0.01482,0.000181703,0.000181703,0.000181703
92,55.9008,0.42625,1.57905,0.00687,0.98229,1,0.995,0.85812,0.70083,1.52028,0.01477,0.0001652,0.0001652,0.0001652
93,56.4563,0.46185,1.57128,0.00708,0.98333,1,0.995,0.85812,0.67851,1.53773,0.01415,0.000148696,0.000148696,0.000148696
94,57.1043,0.45497,1.61865,0.00657,0.9838,1,0.995,0.84983,0.70089,1.4928,0.01453,0.000132193,0.000132193,0.000132193
95,57.6601,0.42735,1.55872,0.00636,0.98443,1,0.995,0.85178,0.69533,1.48624,0.01432,0.00011569,0.00011569,0.00011569
96,58.2067,0.44064,1.53544,0.00634,0.98449,1,0.995,0.85178,0.69315,1.48061,0.01421,9.91865e-05,9.91865e-05,9.91865e-05
97,58.7604,0.43352,1.57718,0.00707,0.98496,1,0.995,0.85178,0.68053,1.4731,0.01388,8.26832e-05,8.26832e-05,8.26832e-05
98,59.3087,0.4429,1.60859,0.00631,0.98508,1,0.995,0.85178,0.68257,1.4723,0.01396,6.61799e-05,6.61799e-05,6.61799e-05
99,59.9411,0.40993,1.5801,0.00588,0.98529,1,0.995,0.85178,0.67962,1.48141,0.0139,4.96766e-05,4.96766e-05,4.96766e-05
100,60.4944,0.40194,1.53257,0.0061,0.98542,1,0.995,0.83978,0.67289,1.48616,0.01377,3.31733e-05,3.31733e-05,3.31733e-05
